# ,,,,,,,,,,
# FOFEM Mortality Species Equation File ,,,,,,,,,,
# Sep 11 2018,,,,,,,,,,
# This file is used in conjunction with the FOFEM tree mortality option,,,,,,,,,,
# Seq = Sequence number - helps order file ,,,,,,,,,,
# Species = Species code,,,,,,,,,,
# Sci-Name = Scientific name,,,,,,,,,,
# Com-Name = Common name,,,,,,,,,,
# Mort = Mortality equation identifiers,,,,,,,,,,
#           Crown Scorch Equations (CRNSCH):   1 -> 99,,,,,,,,,,
#           Bole Char Equations (BOLCHR):   100->110,,,,,,,,,,
#           Crown Damage/Cambium/Beetle Equations (CRCABE):   2 alpha characters,,,,,,,,,,
# Brk  = Bark Equation,,,,,,,,,,
# Crn  = Crown Coefficient code used to calculate stand canopy cover,,,,,,,,,,
# Reg  = Region,,,,,,,,,,
#            IW -   Interior West,,,,,,,,,,
#            PW - Pacific West,,,,,,,,,,
#            NE - North East,,,,,,,,,,
#            SE - South East,,,,,,,,,,
# ,,,,,,,,,,
#Seq,Species,Sci-Name,Com-Name, Mort,Brk,Crn,IW,PW,NE,SE
2560,MAVIP,Magnolia virginiana,Sweetbay,1,19,39,-1,-1,3,4
2570,MALPRU,Prunus species,Apples/Cherries,1,17,39,-1,-1,-1,4
2580,MALSPP,Malus species,Apples,1,22,39,-1,-1,3,4
2590,MOAL,Morus alba,White mulberry,1,17,39,-1,-1,-1,4
2600,MOALM,Morus alba,White mulberry,1,17,39,-1,-1,-1,4
2610,MOALT,Morus alba,White mulberry,1,17,39,-1,-1,-1,4
2620,MORU2,Morus rubra,Red mulberry,1,17,39,-1,-1,-1,4
2630,MORUR,Morus rubra,Red mulberry,1,17,39,-1,-1,-1,4
2640,MORUT,Morus rubra,Red mulberry,1,17,39,-1,-1,-1,4
2650,MORSPP,Morus species,Mulberries,1,12,39,-1,-1,3,4
2660,NYAQ2,Nyssa aquatica,Water tupelo,1,32,39,-1,-1,-1,4
2670,NYOG,Nyssa ogeche,Ogeechee tupelo,1,32,39,-1,-1,-1,4
2680,NYSSPP,Nyssa species,Tupelos,1,23,39,-1,-1,3,4
2690,NYSY,Nyssa sylvatica,Blackgum,1,32,39,-1,-1,3,4
2691,NYSY,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2695,NYSYB,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2700,NYSYC,Nyssa sylvatica,Blackgum,1,32,39,-1,-1,3,4
2701,NYSYC,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2710,NYSYD,Nyssa sylvatica,Blackgum,1,32,39,-1,-1,3,4
2711,NYSYD,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2720,NYSYT,Nyssa sylvatica,Blackgum,1,32,39,-1,-1,3,4
2721,NYSYT,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2724,NYSYU,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2726,NYUR2,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2730,NYBI,Nyssa biflora,Swamp tupelo,1,32,39,-1,-1,-1,4
2734,NYBI,Nyssa sylvatica,Blackgum,102,32,39,-1,-1,-1,4
2740,OSVI,Ostrya virginiana,Hophornbeam,1,16,39,-1,-1,3,4
2750,OSVIC,Ostrya virginiana,Chisos hophornbeam,1,16,39,-1,-1,3,4
2760,OSVIV,Ostrya virginiana,Hophornbeam,1,16,39,-1,-1,3,4
2770,OSVIL,Ostrya virginiana,Hophornbeam,1,16,39,-1,-1,3,4
2780,OXAR,Oxydendrum arboreum,Sourwood,1,15,39,-1,-1,3,4
2781,OXAR,Oxydendrum arboreum,Sourwood,103,15,39,-1,-1,-1,4
2790,PATO2,Paulownia tomentosa,Princesstree,1,29,39,-1,-1,3,4
2800,PEBO,Persea borbonia,Redbay,1,17,39,-1,-1,-1,4
2810,PIAB,Picea abies,Norway spruce,3,8,10,-1,-1,3,4
2820,PIEN,Picea engelmannii,Engelmann spruce,15,15,10,1,2,-1,-1
2830,PIEN,Picea engelmannii,Engelmann spruce,ES,15,10,1,2,-1,-1
2840,PIENE,Picea engelmannii,Engelmann spruce,15,15,10,1,2,-1,-1
2850,PIENE,Picea engelmannii,Engelmann spruce,ES,15,10,1,2,-1,-1
2860,PIENM2,Picea engelmannii,Engelmann spruce,15,15,10,1,2,-1,-1
2870,PIENM2,Picea engelmannii,Engelmann spruce,ES,15,10,1,2,-1,-1
2880,PIENM,Picea engelmannii,Engelmann spruce,15,15,10,1,2,-1,-1
2890,PIENM,Picea engelmannii,Engelmann spruce,ES,15,10,1,2,-1,-1
2900,PIGL,Picea glauca,White spruce,3,4,10,1,2,3,-1
2910,PIMA,Picea mariana,Black spruce,3,11,10,-1,2,3,4
2920,PIMAM4,Picea mariana,Black spruce,3,11,10,-1,2,3,4
2930,PIPU,Picea pungens,Blue spruce,3,10,10,1,-1,-1,-1
2940,PIPUG3,Picea pungens,Blue spruce,3,10,10,1,-1,-1,-1
2950,PIPUA,Picea pungens,Blue spruce,3,10,10,1,-1,-1,-1
2960,PIRU,Picea rubens,Red spruce,3,13,10,-1,-1,3,4
2970,PISI,Picea sitchensis,Sitka spruce,3,6,10,-1,2,-1,-1
2980,PICSPP,Picea species,Spruces,3,13,10,-1,-1,3,4
2990,PIAL,Pinus albicaulis,Whitebark pine,17,9,31,1,2,-1,-1
3000,PIAL,Pinus albicaulis,Whitebark pine,WP,9,31,1,2,-1,-1
3010,PIAT,Pinus attenuata,Knobcone pine,1,9,32,-1,2,-1,-1
3020,PIBA2,Pinus banksiana,Jack pine,1,19,11,-1,-1,3,-1
3030,PICL,Pinus clausa,Sand pine,1,14,11,-1,-1,-1,4
3040,PICLI,Pinus clausa,Sand pine,1,14,11,-1,-1,-1,4
3050,PICLI2,Pinus clausa,Sand pine,1,14,11,-1,-1,-1,4
3060,PICO,Pinus contorta,Lodgepole pine,17,7,11,1,2,-1,-1
3070,PICO,Pinus contorta,Lodgepole pine,WP,7,11,1,2,-1,-1
3080,PICOB,Pinus contorta,Bolander beach pine,17,7,11,1,2,-1,-1
3090,PICOB,Pinus contorta,Bolander beach pine,WP,7,11,1,2,-1,-1
3100,PICOB2,Pinus contorta,Bolander beach pine,17,7,11,1,2,-1,-1
3110,PICOB2,Pinus contorta,Bolander beach pine,WP,7,11,1,2,-1,-1
3120,PICOC,Pinus contorta,Beach pine,17,7,11,1,2,-1,-1
3130,PICOC,Pinus contorta,Beach pine,WP,7,11,1,2,-1,-1
3140,PICOC2,Pinus contorta,Beach pine,17,7,11,1,2,-1,-1
3150,PICOC2,Pinus contorta,Beach pine,WP,7,11,1,2,-1,-1
3160,PICOL,Pinus contorta,Lodgepole pine,17,7,11,1,2,-1,-1
3170,PICOL,Pinus contorta,Lodgepole pine,WP,7,11,1,2,-1,-1
3180,PICOL2,Pinus contorta,Lodgepole pine,17,7,11,1,2,-1,-1
3190,PICOL2,Pinus contorta,Lodgepole pine,WP,7,11,1,2,-1,-1
3200,PICOM,Pinus contorta,Sierra lodgepole pine,17,7,11,1,2,-1,-1
3210,PICOM,Pinus contorta,Sierra lodgepole pine,WP,7,11,1,2,-1,-1
3220,PICOM4,Pinus contorta,Sierra lodgepole pine,17,7,11,1,2,-1,-1
3230,PICOM4,Pinus contorta,Sierra lodgepole pine,WP,7,11,1,2,-1,-1
3240,PIEC2,Pinus echinata,Shortleaf pine,1,16,15,-1,-1,3,4
3250,PIEL,Pinus elliottii,Slash pine,1,31,15,-1,-1,-1,4
3260,PIELD,Pinus elliottii,Florida slash pine,1,31,15,-1,-1,-1,4
3270,PIELA,Pinus elliottii,Florida slash pine,1,31,15,-1,-1,-1,4
3280,PIELA2,Pinus elliottii,Florida slash pine,1,31,15,-1,-1,-1,4
3290,PIELE2,Pinus elliottii,Slash pine,1,31,15,-1,-1,-1,4
3300,PIFL2,Pinus flexilis,Limber pine,1,9,31,1,-1,-1,-1
3310,PIFLA,Pinus flexilis,Limber pine,1,9,31,1,-1,-1,-1
3320,PIFLA2,Pinus flexilis,Limber pine,1,9,31,1,-1,-1,-1
3330,PIFLC,Pinus flexilis,Limber pine,1,9,31,1,-1,-1,-1
3340,PIFLC2,Pinus flexilis,Limber pine,1,9,31,1,-1,-1,-1
3350,PIGL2,Pinus glabra,Spruce pine,1,14,11,-1,-1,-1,4
3360,PIJE,Pinus jeffreyi,Jeffrey pine,19,37,12,1,2,-1,-1
3370,PIJE,Pinus jeffreyi,Jeffrey pine,PP,37,12,1,2,-1,-1
3380,PIJEK,Pinus jeffreyi,Jeffrey pine,PK,37,12,1,2,-1,-1
3390,PILA,Pinus lambertiana,Sugar pine,18,38,13,1,2,-1,-1
3400,PILA,Pinus lambertiana,Sugar pine,SP,38,13,1,2,-1,-1
3410,PIMO3,Pinus monticola,Western white pine,1,14,14,1,2,-1,-1
3420,PIPA2,Pinus palustris,Longleaf pine,5,100,15,-1,-1,-1,4
3430,PIPO,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3440,PIPO,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3450,PIPO_BH,Pinus ponderosa,Ponderosa Pine Black Hills,21,36,15,1,-1,-1,-1
3460,PIPO_BH,Pinus ponderosa,Ponderosa Pine Black Hills,PP,36,15,1,-1,-1,-1
3470,PIPOB2,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3480,PIPOB2,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3490,PIPOB,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3500,PIPOB,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3510,PIPOP2,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3520,PIPOP2,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3530,PIPOB3,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3540,PIPOB3,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3550,PIPOP,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3560,PIPOP,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3570,PIPOS,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3580,PIPOS,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3590,PIPOS2,Pinus ponderosa,Ponderosa pine,19,36,15,1,2,-1,-1
3600,PIPOS2,Pinus ponderosa,Ponderosa pine,PP,36,15,1,2,-1,-1
3610,PIPOW2,Pinus ponderosa,Washoe pine,19,36,15,1,2,-1,-1
3620,PIPOW2,Pinus ponderosa,Washoe pine,PP,36,15,1,2,-1,-1
3630,PIPOW,Pinus ponderosa,Washoe pine,19,36,15,1,2,-1,-1
3640,PIPOW,Pinus ponderosa,Washoe pine,PP,36,15,1,2,-1,-1
3650,PIPOK,Pinus ponderosa,Ponderosa pine,PK,36,15,1,2,-1,-1
3660,PIPOBK,Pinus ponderosa,Ponderosa pine,PK,36,15,1,2,-1,-1
3670,PIPOP2K,Pinus ponderosa,Ponderosa pine,PK,36,15,1,2,-1,-1
3680,PIPOB3K,Pinus ponderosa,Ponderosa pine,PK,36,15,1,2,-1,-1
3690,PIPOPK,Pinus ponderosa,Ponderosa pine,PK,36,15,1,2,-1,-1
3700,PIPOSK,Pinus ponderosa,Ponderosa pine,PK,36,15,1,2,-1,-1
3710,PIPOS2K,Pinus ponderosa,Ponderosa pine,PK,36,15,1,2,-1,-1
3720,PIPOW2K,Pinus ponderosa,Washoe pine,PK,36,15,1,2,-1,-1
3730,PIPOWK,Pinus ponderosa,Washoe pine,PK,36,15,1,2,-1,-1
3740,PIPU5,Pinus pungens,Table mountain pine,1,19,11,-1,-1,3,4
3750,PIRE,Pinus resinosa,Red pine,1,22,11,-1,-1,3,4
3760,PIRI,Pinus rigida,Pitch pine,1,24,11,-1,-1,3,4
3770,PISA2,Pinus sabiniana,Gray pine,1,12,15,-1,2,-1,-1
3780,PISE,Pinus serotina,Pond pine,1,35,11,-1,-1,3,4
3790,PINSPP,Pinus species,Pines,1,9,11,-1,-1,3,4
3800,PIST,Pinus strobus,Eastern white pine,1,24,14,-1,-1,3,4
3810,PISY,Pinus sylvestris,Scots pine,1,9,11,-1,-1,3,4
3820,PITA,Pinus taeda,Loblolly pine,1,30,15,-1,-1,3,4
3830,PIVI2,Pinus virginiana,Virginia pine,1,12,11,-1,-1,3,4
3840,PLOC,Platanus occidentalis,American sycamore,1,12,39,-1,-1,3,4
3850,PLOCG,Platanus occidentalis,American sycamore,1,12,39,-1,-1,3,4
3860,POBA2,Populus balsamifera,Balsam poplar,1,19,27,-1,-1,3,4
3870,POBAB2,Populus balsamifera,Balsam poplar,1,19,27,-1,-1,3,4
3880,POBAC2,Populus balsamifera,Balsam poplar,1,19,27,-1,-1,3,4
3890,POBAF,Populus balsamifera,Balsam poplar,1,19,27,-1,-1,3,4
3900,POBAL,Populus balsamifera,Balsam poplar,1,19,27,-1,-1,3,4
3910,POBAM,Populus balsamifera,Balsam poplar,1,19,27,-1,-1,3,4
3920,POBAS2,Populus balsamifera,Balsam poplar,1,19,27,-1,-1,3,4
3930,POBAT,Populus balsamifera,Black cottonwood,1,23,27,-1,2,-1,-1
3940,POBAC3,Populus balsamifera,Black cottonwood,1,23,27,-1,2,-1,-1
3950,PODE3,Populus deltoides,Eastern cottonwood,1,19,27,-1,-1,3,4
3960,PODED,Populus deltoides,Eastern cottonwood,1,19,27,-1,-1,3,4
3970,PODEA,Populus deltoides,Eastern cottonwood,1,19,27,-1,-1,3,4
3980,PODEM2,Populus deltoides,Eastern cottonwood,1,19,27,-1,-1,3,4
3990,PODEP,Populus deltoides,Eastern cottonwood,1,19,27,-1,-1,3,4
4000,PODEV,Populus deltoides,Eastern cottonwood,1,19,27,-1,-1,3,4
4010,PODEM,Populus deltoides,Plains cottonwood,1,19,27,-1,-1,3,4
4020,PODEO,Populus deltoides,Plains cottonwood,1,19,27,-1,-1,3,4
4030,PODEW,Populus deltoides,Rio Grande cottonwood,1,19,27,-1,-1,3,4
4040,PODEW3,Populus deltoides,Rio Grande cottonwood,1,19,27,-1,-1,3,4
4050,POGR4,Populus grandidentata,Bigtooth aspen,1,18,26,-1,-1,3,4
4060,POGRA2,Populus grandidentata,Bigtooth aspen,1,18,26,-1,-1,3,4
4070,POGRM4,Populus grandidentata,Bigtooth aspen,1,18,26,-1,-1,3,4
4080,POGRS,Populus grandidentata,Bigtooth aspen,1,18,26,-1,-1,3,4
4090,POHE4,Populus heterophylla,Swamp cottonwood,1,29,27,-1,-1,3,4
4100,POPSPP,Populus species,Poplars,1,17,27,-1,-1,3,4
4110,POTR5,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4120,POTRA,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4130,POTR5,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4140,POTRC2,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4150,POTR12,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4160,POTRM,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4170,POTRR,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4180,POTRV,Populus tremuloides,Quaking aspen,4,23,26,1,2,3,4
4190,POTR15,Populus trichocarpa,Black cottonwood,1,23,27,-1,2,-1,-1
4200,POTRH,Populus trichocarpa,Black cottonwood,1,23,27,-1,2,-1,-1
4210,POTRC,Populus trichocarpa,Black cottonwood,1,23,27,-1,2,-1,-1
4220,POTRH2,Populus trichocarpa,Black cottonwood,1,23,27,-1,2,-1,-1
4230,POTRI,Populus trichocarpa,Black cottonwood,1,23,27,-1,2,-1,-1
4240,PRAM,Prunus americana,American plum,1,19,39,-1,-1,3,-1
4250,PREM,Prunus emarginata,Bitter cherry,1,35,36,-1,2,-1,-1
4260,PREME,Prunus emarginata,Bitter cherry,1,35,36,-1,2,-1,-1
4270,PREMC,Prunus emarginata,Bitter cherry,1,35,36,-1,2,-1,-1
4280,PREMM,Prunus emarginata,Bitter cherry,1,35,36,-1,2,-1,-1
4290,PRPE2,Prunus pensylvanica,Pin cherry,1,24,36,-1,-1,3,4
4300,PRPEP,Prunus pensylvanica,Pin cherry,1,24,36,-1,-1,3,4
4310,PRPES,Prunus pensylvanica,Pin cherry,1,24,36,-1,-1,3,4
4320,PRPEC,Prunus pensylvanica,Pin cherry,1,24,36,-1,-1,3,4
4330,PRSE2,Prunus serotina,Black cherry,1,9,36,-1,-1,3,4
4340,PRSEE,Prunus serotina,Black cherry,1,9,36,-1,-1,3,4
4350,PRSEE2,Prunus serotina,Black cherry,1,9,36,-1,-1,3,4
4360,PRSER2,Prunus serotina,Black cherry,1,9,36,-1,-1,3,4
4370,PRSES,Prunus serotina,Black cherry,1,9,36,-1,-1,3,4
4380,PRSEV,Prunus serotina,Black cherry,1,9,36,-1,-1,3,4
4390,PRUSPP,Prunus species,Cherries,1,29,36,-1,-1,3,4
4400,PRVI,Prunus virginiana,Chokecherry,1,19,36,-1,-1,3,-1
4410,PRVID,Prunus virginiana,Western chokecherry,1,19,36,-1,-1,3,-1
4420,PRVID2,Prunus virginiana,Chokecherry,1,19,36,-1,-1,3,-1
4430,PRVIM,Prunus virginiana,Black chokecherry,1,19,36,-1,-1,3,-1
4440,PRVIM2,Prunus virginiana,Chokecherry,1,19,36,-1,-1,3,-1
4450,PRVIV,Prunus virginiana,Chokecherry,1,19,36,-1,-1,3,-1
4460,PSME,Pseudotsuga menziesii,Douglas-fir,20,36,16,1,2,-1,-1
4470,PSME,Pseudotsuga menziesii,Douglas-fir,DF,36,16,1,2,-1,-1
4480,PSMEG,Pseudotsuga menziesii,Rocky Mtn Douglas-fir,20,36,16,1,2,-1,-1
4490,PSMEG,Pseudotsuga menziesii,Rocky Mtn Douglas-fir,DF,36,16,1,2,-1,-1
4500,PSMEF,Pseudotsuga menziesii,Douglas-fir,20,36,16,1,2,-1,-1
4510,PSMEF,Pseudotsuga menziesii,Douglas-fir,DF,36,16,1,2,-1,-1
4520,PSMEM,Pseudotsuga menziesii,Douglas-fir,20,36,16,1,2,-1,-1
4530,PSMEM,Pseudotsuga menziesii,Douglas-fir,DF,36,16,1,2,-1,-1
4540,QUAG,Quercus agrifolia,California live oak,1,29,28,-1,2,-1,-1
4550,QUAGA,Quercus agrifolia,California live oak,1,29,28,-1,2,-1,-1
4560,QUAGO,Quercus agrifolia,Coastal live oak,1,29,28,-1,2,-1,-1
4570,QUAL,Quercus alba,White oak,1,19,28,-1,-1,3,4
4571,QUAL,Quercus alba,White oak,104,19,28,-1,-1,-1,4
4580,QUALS,Quercus alba,White oak,1,19,28,-1,-1,3,4
4581,QUALS,Quercus alba,White oak,104,19,28,-1,-1,-1,4
4590,QUALS2,Quercus alba,White oak,1,19,28,-1,-1,3,4
4591,QUALS2,Quercus alba,White oak,104,19,28,-1,-1,-1,4
4596,QUAL3,Quercus alba,White oak,104,19,28,-1,-1,-1,4
4600,QUBI,Quercus bicolor,Swamp white oak,1,24,28,-1,-1,3,4
4610,QUCH2,Quercus chrysolepis,Canyon live oak,1,3,28,-1,2,-1,-1
4620,QUCHC,Quercus chrysolepis,Canyon live oak,1,3,28,-1,2,-1,-1
4630,QUCHN,Quercus chrysolepis,Canyon live oak,1,3,28,-1,2,-1,-1
4640,QUCO2,Quercus coccinea,Scarlet oak,1,19,28,-1,-1,3,4
4641,QUCO2,Quercus coccinea,Scarlet oak,105,19,28,-1,-1,-1,4
4650,QUCOC,Quercus coccinea,Scarlet oak,1,19,28,-1,-1,3,4
4651,QUCOC,Quercus coccinea,Scarlet oak,105,19,28,-1,-1,-1,4
4660,QUCOT,Quercus coccinea,Scarlet oak,1,19,28,-1,-1,3,4
4661,QUCOT,Quercus coccinea,Scarlet oak,105,19,28,-1,-1,-1,4
4670,QUDU,Quercus douglasii,Blue oak,1,12,28,-1,2,-1,-1
4680,QUEL,Quercus ellipsoidalis,Northern pin oak,1,17,28,-1,-1,3,4
4690,QUEN,Quercus engelmannii,Engelmann oak,1,33,28,-1,2,-1,-1
4700,QUFA,Quercus falcata,Southern red oak,1,23,28,-1,-1,3,4
4710,QUFAT,Quercus falcata,Southern red oak,1,23,28,-1,-1,3,4
4720,QUGA4,Quercus garryana,Oregon white oak,1,8,28,-1,2,-1,-1
4730,QUGAG2,Quercus garryana,Oregon white oak,1,8,28,-1,2,-1,-1
4740,QUGAS,Quercus garryana,Oregon white oak,1,8,28,-1,2,-1,-1
4750,QUIM,Quercus imbricaria,Shingle oak,1,20,28,-1,-1,3,4
4760,QUIN,Quercus incana,Bluejack oak,1,17,28,-1,-1,-1,4
4770,QUKE,Quercus kelloggii,Califonia black oak,1,9,28,-1,2,-1,-1
4780,QULA2,Quercus laevis,Turkey oak,1,16,28,-1,-1,-1,4
4790,QULA3,Quercus laurifolia,Laurel oak,1,15,28,-1,-1,-1,4
4800,QULO,Quercus lobata,Valley oak,1,22,28,-1,2,-1,-1
4810,QULOA,Quercus lobata,Valley oak,1,22,28,-1,2,-1,-1
4820,QULOI,Quercus lobata,Valley oak,1,22,28,-1,2,-1,-1
4830,QULOT,Quercus lobata,Valley oak,1,22,28,-1,2,-1,-1
4840,QULOW,Quercus lobata,Valley oak,1,22,28,-1,2,-1,-1
4850,QULY,Quercus lyrata,Overcup oak,1,18,28,-1,-1,3,4
4860,QUMA2,Quercus macrocarpa,Bur oak,1,21,28,-1,-1,3,4
4870,QUMAD,Quercus macrocarpa,Bur oak,1,21,28,-1,-1,3,4
4880,QUMAM,Quercus macrocarpa,Bur oak,1,21,28,-1,-1,3,4
4890,QUMAO,Quercus macrocarpa,Bur oak,1,21,28,-1,-1,3,4
4900,QUMA3,Quercus marilandica,Blackjack oak,1,16,28,-1,-1,3,4
4901,QUMA3,Quercus marilandica,Blackjack oak,106,16,28,-1,-1,-1,4
4910,QUMAA2,Quercus marilandica,Blackjack oak,1,16,28,-1,-1,3,4
4911,QUMAA2,Quercus marilandica,Blackjack oak,106,16,28,-1,-1,-1,4
4920,QUMAA,Quercus marilandica,Blackjack oak,1,16,28,-1,-1,3,4
4921,QUMAA,Quercus marilandica,Blackjack oak,106,16,28,-1,-1,-1,4
4930,QUMAM2,Quercus marilandica,Blackjack oak,1,16,28,-1,-1,3,4
4931,QUMAM2,Quercus marilandica,Blackjack oak,106,16,28,-1,-1,-1,4
4940,QUMI,Quercus michauxii,Swamp chestnut oak,1,25,28,-1,-1,3,4
4950,QUPR4,Quercus michauxii,Swamp chestnut oak,1,25,28,-1,-1,3,4
4960,QUMU,Quercus muehlenbergii,Chinkapin oak,1,21,28,-1,-1,3,4
4964,QUMO4,Quercus montana,Chestnut oak,107,25,28,-1,-1,-1,4
4970,QUNI,Quercus nigra,Water oak,1,15,28,-1,-1,3,4
4980,QUNIH,Quercus nigra,Water oak,1,15,28,-1,-1,3,4
4990,QUNU,Quercus nuttallii,Nuttall oak,1,9,28,-1,-1,-1,4
5000,QUNUC,Quercus nuttallii,Nuttall oak,1,9,28,-1,-1,-1,4
5010,QUTE,Quercus texana,Texas red oak,1,9,28,-1,-1,-1,4
5020,QUPA2,Quercus palustris,Pin oak,1,20,28,-1,-1,3,4
5030,QUPH,Quercus phellos,Willow oak,1,20,28,-1,-1,3,4
5040,QUPR2,Quercus prinus,Chestnut oak,1,28,28,-1,-1,3,4
5041,QUMO4,Quercus prinus,Chestnut oak,1,28,28,-1,-1,3,4
5050,QURU,Quercus rubra,Northern red oak,1,21,28,-1,-1,3,4
5060,QURUA,Quercus rubra,Northern red oak,1,21,28,-1,-1,3,4
5070,QURUB,Quercus rubra,Northern red oak,1,21,28,-1,-1,3,4
5080,QURUR,Quercus rubra,Northern red oak,1,21,28,-1,-1,3,4
5090,QUSH,Quercus shumardii,Shumard's k,1,16,28,-1,-1,3,4
5100,QUSHS,Quercus shumardii,Shneck oak,1,16,28,-1,-1,3,4
5110,QUSHS2,Quercus shumardii,Shumard oak,1,16,28,-1,-1,3,4
5120,QUSHS3,Quercus shumardii,Shumard oak,1,16,28,-1,-1,3,4
5130,QUESPP,Quercus species,Oaks,1,24,28,-1,-1,3,4
5140,QUST,Quercus stellata,Post oak,1,23,28,-1,-1,3,4
5150,QUSTA2,Quercus stellata,Post oak,1,23,28,-1,-1,3,4
5160,QUSTP2,Quercus stellata,Post oak,1,23,28,-1,-1,3,4
5170,QUVE,Quercus velutina,Black oak,1,24,28,-1,-1,3,4
5172,QUVE,Quercus velutina,Black oak,108,24,28,-1,-1,-1,4
5180,QUVEM,Quercus velutina,Black oak,1,24,28,-1,-1,3,4
5190,QUVI,Quercus virginiana,Live oak,1,22,28,-1,-1,-1,4
5200,QUWI2,Quercus wislizeni,Interior live oak,1,13,28,-1,2,-1,-1
5210,QUWIF,Quercus wislizeni,Interior live oak,1,13,28,-1,2,-1,-1
5220,QUWIW,Quercus wislizeni,Interior live oak,1,13,28,-1,2,-1,-1
5230,ROPS,Robinia pseudoacacia,Black locust,1,28,39,-1,-1,3,4
5234,RURU5,Acer rubrum, Red maple,100,7,21,-1,-1,-1,4
5240,SABE2,Salix bebbiana,Bebb willow,1,19,37,-1,-1,3,-1
5250,SABED,Salix bebbiana,Bebb willow,1,19,37,-1,-1,3,-1
5260,SABEL,Salix bebbiana,Bebb willow,1,19,37,-1,-1,3,-1
5270,SABEP,Salix bebbiana,Bebb willow,1,19,37,-1,-1,3,-1
5280,SABEP2,Salix bebbiana,Bebb willow,1,19,37,-1,-1,3,-1
5290,SANI,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5300,SANIA2,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5310,SANIB,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5320,SANIB2,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5330,SANIF2,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5340,SANIA2,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5350,SANIL2,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5360,SANIL3,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5370,SANIM2,Salix nigra,Black willow,1,19,37,-1,-1,3,4
5380,SALSPP,Salix species,Willows,1,20,37,-1,2,3,4
5390,SAAL5,Sassafras albidum,Sassafras,1,14,39,-1,-1,3,4
5391,SAAL5,Sassafras albidum,Sassafras,109,14,39,-1,-1,-1,4
5400,SEGI2,Sequoia gigantea,Giant sequoia,1,39,17,-1,2,-1,-1
5410,SEGI3,Sequoia gigantea,Giant sequoia,1,39,17,-1,2,-1,-1
5420,SESE3,Sequoia sempervirens,Redwood,1,39,17,-1,2,-1,-1
5430,SOAM3,Sorbus americana,American mountain-ash,1,19,39,-1,-1,3,-1
5440,TABR2,Taxus brevifolia,Pacific yew,1,4,33,1,2,-1,-1
5450,TADI2,Taxodium distichum,Bald cypress,1,4,39,-1,-1,3,4
5460,TAAS,Taxodium ascendens,Pond cypress,1,21,39,-1,-1,-1,4
5470,TADII,Taxodium ascendens,Pond cypress,1,21,39,-1,-1,-1,4
5480,TADIN,Taxodium ascendens,Pond cypress,1,21,39,-1,-1,-1,4
5490,THOC2,Thuja occidentalis,arborvitae,1,4,18,-1,-1,3,4
5500,THOCF,Thuja occidentalis,arborvitae,1,4,18,-1,-1,3,4
5510,THOCN,Thuja occidentalis,arborvitae,1,4,18,-1,-1,3,4
5520,THOCP3,Thuja occidentalis,arborvitae,1,4,18,-1,-1,3,4
5530,THOCM3,Thuja occidentalis,arborvitae,1,4,18,-1,-1,3,4
5540,THPL,Thuja plicata,Western redcedar,1,14,18,1,2,-1,-1
